H2H will be built from this league lineage:
  • 2020: NFL UK 2020 [399.l.857293]
  • 2021: NFL UK 2021/22 [406.l.787594]
  • 2022: NFL UK 2022/23 [414.l.336160]
  • 2023: NFL UK 2022/23 [423.l.39167]
  • 2024: Can anyone stop the 3-peat? [449.l.66930]
  • 2025: Kyle Pitts Breakout Season [461.l.54130]
  · 2020: weeks 1–16 (NFL UK 2020)
2023 w5: Chris S vs Colin C -> WINNER Colin C  (playoffs=False, cons=False)
2023 w5: Jack E vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2023 w5: Jack C vs Kevin G -> WINNER Jack C  (playoffs=False, cons=False)
2023 w5: Andrew S vs Ben H -> WINNER Ben H  (playoffs=False, cons=False)
2023 w6: Andrew S vs Jamie L -> WINNER Andrew S  (playoffs=False, cons=False)
2023 w6: Conor H vs Jack E -> WINNER Jack E  (playoffs=False, cons=False)
2023 w6: Colin C vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2023 w6: Jake vs Simon L -> WINNER Jake  (playoffs=False, cons=False)
2023 w6: Graham S vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2023 w6: Ben H vs Chris S -> WINNER Chris S  (playoffs=False, cons=False)
2023 w7: Ben H vs Jamie L -> WINNER Ben H  (playoffs=False, cons=False)
2023 w7: Conor H vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2023 w7: Colin C vs Graham S -> WINNER Colin C  (playoffs=False, cons=False)
2023 w7: Andrew S vs Jake -> WINNER Andrew S  (playoffs=False, cons=False)
2023 w7: Chris S vs Jack C -> WINNER Chris S  (playoffs=False, cons=False)
2023 w7: Jack E vs Kevin G -> WINNER Jack E  (playoffs=False, cons=False)
2023 w8: Jake vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2023 w8: Andrew S vs Conor H -> WINNER Conor H  (playoffs=False, cons=False)
2023 w8: Colin C vs Jack E -> WINNER Colin C  (playoffs=False, cons=False)
2023 w8: Ben H vs Jack C -> WINNER Ben H  (playoffs=False, cons=False)
2023 w8: Kevin G vs Simon L -> WINNER Kevin G  (playoffs=False, cons=False)
2023 w8: Chris S vs Graham S -> WINNER Graham S  (playoffs=False, cons=False)
2023 w9: Conor H vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2023 w9: Colin C vs Simon L -> WINNER Colin C  (playoffs=False, cons=False)
2023 w9: Ben H vs Jake -> WINNER Ben H  (playoffs=False, cons=False)
2023 w9: Graham S vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2023 w9: Chris S vs Jack E -> WINNER Jack E  (playoffs=False, cons=False)
2023 w9: Andrew S vs Kevin G -> WINNER Andrew S  (playoffs=False, cons=False)
2023 w10: Jamie L vs Kevin G -> WINNER Jamie L  (playoffs=False, cons=False)
2023 w10: Conor H vs Jake -> WINNER Conor H  (playoffs=False, cons=False)
2023 w10: Andrew S vs Colin C -> WINNER Andrew S  (playoffs=False, cons=False)
2023 w10: Jack C vs Jack E -> WINNER Jack C  (playoffs=False, cons=False)
2023 w10: Chris S vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2023 w10: Ben H vs Graham S -> WINNER Ben H  (playoffs=False, cons=False)
2023 w11: Colin C vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
